time,interArrival,dimmer,servers,response,concept,segment,queue
361.0,71.1303396899952,1.0,3.0,7.70320257986088,1,1,227.0
362.0,74.4647393174435,1.0,4.0,4.76807553337445,1,1,173.0
363.0,69.8643292109883,1.0,5.0,0.0725483936311764,1,1,0.0
364.0,71.7281442532188,1.0,4.0,0.0732310651502892,1,1,0.0
365.0,81.6036833324306,1.0,3.0,0.33022543767351,1,1,0.0
366.0,73.942214485415,1.0,2.0,4.52735274684067,1,1,0.0
367.0,72.5541715432712,1.0,3.0,8.51095172328209,1,1,251.0
368.0,80.0429259608875,1.0,4.0,6.97975237910145,1,1,264.0
369.0,81.2706755147101,1.0,5.0,2.03124260144551,1,1,104.0
370.0,83.9278121490006,0.75,5.0,0.0341159123834701,1,1,0.0
371.0,80.7445653637033,1.0,5.0,0.0444414500172414,1,1,0.0
372.0,75.4768003066307,1.0,4.0,0.0685310787359335,1,1,0.0
373.0,79.9165133397342,1.0,3.0,0.570328683360527,1,1,0.0
374.0,79.2888328734879,1.0,2.0,6.15137833197735,1,1,0.0
375.0,79.0739883904149,1.0,3.0,9.08624093937873,1,1,352.0
376.0,74.3905692671078,1.0,4.0,6.06788826065542,1,1,230.0
377.0,75.3952863275304,1.0,5.0,0.811175726952949,1,1,34.0
378.0,76.4575225069968,0.75,5.0,0.0347524423722651,1,1,0.0
379.0,73.0351482103306,1.0,5.0,0.0460014763352085,1,1,0.0
380.0,75.3569773875078,1.0,4.0,0.0842089482342988,1,1,0.0
381.0,80.9397576912542,1.0,3.0,2.86856877982234,1,1,0.0
382.0,91.2309119699552,1.0,4.0,4.34701532635764,1,1,52.0
383.0,97.8864051507522,1.0,5.0,1.08714366301114,1,1,3.0
384.0,88.6224218480228,0.75,5.0,0.039884347634987,1,1,0.0
385.0,97.0301837022029,1.0,5.0,0.0571655344226209,1,1,0.0
386.0,93.4613491503831,1.0,4.0,0.352437864191437,1,1,0.0
387.0,101.61110688429,1.0,3.0,5.60202532689555,1,1,0.0
388.0,110.987848135167,1.0,4.0,10.0897316679619,1,1,306.0
389.0,110.928731264072,1.0,5.0,8.18891534085183,1,1,264.0
390.0,109.828853539771,0.75,5.0,2.66332436372153,1,1,132.0
391.0,107.678305532453,0.5,5.0,0.0259250801648201,1,1,0.0
392.0,113.967532174779,0.75,5.0,0.048127672230619,1,1,0.0
393.0,111.94106127385,1.0,5.0,0.0975991364070342,1,1,0.0
394.0,111.105309988732,1.0,4.0,0.15676632316069,1,1,0.0
395.0,96.2287343317641,1.0,3.0,3.74906901846477,1,1,0.0
396.0,95.5333333333843,1.0,4.0,6.22572017696097,1,1,130.0
397.0,97.9333333333203,1.0,5.0,2.7283526492244,1,1,86.0
398.0,92.7999999999567,0.75,5.0,0.0402264735699144,1,1,0.0
399.0,103.033333333378,1.0,5.0,0.0748931283804026,1,1,0.0
400.0,103.166666666684,1.0,4.0,0.355146034735212,1,1,0.0
401.0,101.09999999998,1.0,3.0,4.80548476994057,1,1,0.0
402.0,103.900000000045,1.0,4.0,8.45357510997359,1,1,212.0
403.0,104.833333333389,1.0,5.0,7.27608617509655,1,1,245.0
404.0,101.899999999881,0.75,5.0,1.40336792219711,1,1,88.0
405.0,99.1333333333135,0.5,5.0,0.0258314038130535,1,1,0.0
406.0,100.739955401044,0.75,5.0,0.0381233364414601,1,1,0.0
407.0,97.018382155466,1.0,5.0,0.068989184159491,1,1,0.0
408.0,100.35588942192,1.0,4.0,1.98208135726158,1,1,0.0
409.0,115.567575907759,1.0,5.0,1.9016486361259,1,1,23.0
410.0,110.499673852895,0.75,5.0,0.0514014396913276,1,1,0.0
